🕘️更新时间,#genre#
2026-05-23 00:44:18,https://jmp2.uk/plu-60d3583ef310610007fb02b1.m3u8

VTV - Kênh Quốc Gia,#genre#

HTV - TP Hồ Chí Minh,#genre#

Địa Phương - Miền Bắc,#genre#

Địa Phương - Miền Trung,#genre#

Địa Phương - Miền Nam,#genre#

VTVcab - Truyền Hình Cáp,#genre#

SCTV,#genre#

K Plus,#genre#

FPT Play,#genre#

Tin Tức - Thời Sự VN,#genre#

Tin Tức Quốc Tế,#genre#
Euronews,https://jmp2.uk/plu-60d3583ef310610007fb02b1.m3u8
Euronews,https://jmp2.uk/plu-61b86ea479a4390007c6d5fc.m3u8
Euronews,https://jmp2.uk/plu-61de8e502c8e9400077e5de7.m3u8
Euronews,https://jmp2.uk/plu-61de90a47365340007f77c27.m3u8

Thể Thao Việt Nam,#genre#

Thể Thao Quốc Tế,#genre#

Phim Truyện,#genre#
Pluto TV Movies,https://jmp2.uk/plu-5c5c3b948002db3c3e0b262e.m3u8
Pluto TV Movies,https://jmp2.uk/plu-5ad8d3a31b95267e225e4e09.m3u8

Thiếu Nhi,#genre#

Khoa Học - Khám Phá,#genre#

Âm Nhạc,#genre#

Kênh Trung Quốc,#genre#
CCTV-9,https://xykt-fix.github.io/Y77.m3u8
CCTV-11,https://xykt-fix.github.io/play/a02b/index.m3u8
CCTV-13,https://cdn3.163189.xyz/163189/cctv13
CCTV-15,https://xykt-fix.github.io/play/a02e/index.m3u8

Kênh Hàn Quốc,#genre#

Kênh Nhật Bản,#genre#

Kênh Khác - Tổng Hợp,#genre#

♻️未匹配频道,#genre#
UFC,https://jmp2.uk/plu-6792044b680721c77c5b9ba2.m3u8
UFC,https://jmp2.uk/plu-67921b873de7c8cf94233f52.m3u8
UFC,https://jmp2.uk/plu-67921b78b83355184c667770.m3u8
UFC,https://jmp2.uk/plu-679203d4bc03978b9b4b79a6.m3u8
UFC,https://jmp2.uk/plu-679205a13de7c8cf941e7857.m3u8
UFC,https://jmp2.uk/plu-6792066f3de7c8cf941e7ce3.m3u8
UFC,https://jmp2.uk/plu-66ed3e9d5e4a6e0008b346e0.m3u8
UFC,https://jmp2.uk/plu-677d9adfa9a51b0008497fa0.m3u8
CBS News 24/7 (720p),https://jmp2.uk/plu-6231ede1be5b460007f91bc1.m3u8
CBS News 24/7 (720p),https://jmp2.uk/plu-6231ec93779a9d00079ba8e2.m3u8
